"category","type","difficulty","question","correct_answer","incorrect_answers__001","incorrect_answers__002","incorrect_answers__003"
"Entertainment: Books","multiple","medium","Who wrote the ""A Song of Ice And Fire"" fantasy novel series?","George R. R. Martin","George Lucas","George Orwell","George Eliot"
"Entertainment: Cartoon & Animations","multiple","hard","What town was ""Springfield"" from ""The Simpsons"" originally named after?","Springfield, Oregon","Springfield, Missouri","Springfield, Illinois","Springfield, Massachusetts"
"Entertainment: Video Games","multiple","easy","The most graphically violent game to precede the creation of the ESRB (Entertainment Software Rating Board) was...","Mortal Kombat","Duke Nukem","Resident Evil","Doom"
"Science: Computers","multiple","easy","What does GHz stand for?","Gigahertz","Gigahotz","Gigahetz","Gigahatz"
"Science & Nature","multiple","medium","Which chemical element has the lowest boiling point?","Helium","Hydrogen","Neon","Nitrogen"
"History","boolean","hard","Joseph Stalin's real name was Ioseb Bessarionis dze Dzugashvili.","True","False","",""
"Entertainment: Film","multiple","medium","Which of the following James Bond villains is not affiliated with the SPECTRE organization?","Auric Goldfinger","Dr. Julius No","Rosa Klebb","Emilio Largo"
"Science & Nature","multiple","easy","What is the standard SI unit for temperature?","Kelvin","Fahrenheit","Celsius","Rankine"
"Science & Nature","multiple","medium","The Axiom of Preventive Medicine states that people with ___ risk for a disease should be screened and we should treat ___ of those people.","low, all","low, some","high, all","high, some"
"History","multiple","easy","The original Roman alphabet lacked the following letters EXCEPT:","X","W","U","J"
"Entertainment: Music","multiple","medium","Which of these artists do NOT originate from France?","The Chemical Brothers","Air","Justice","Daft Punk"
"Entertainment: Video Games","multiple","hard","When was the first ""Half-Life"" released?","1998","2004","1999","1997"
"Science: Computers","multiple","medium","On which day did the World Wide Web go online?","December 20, 1990","December 17, 1996","November 12, 1990","November 24, 1995"
"Science & Nature","multiple","medium","Who developed the first successful polio vaccine in the 1950s?","Jonas Salk","John F. Enders","Thomas Weller","Frederick Robbins"
"General Knowledge","multiple","easy","Red Vines is a brand of what type of candy?","Licorice","Lollipop","Chocolate","Bubblegum"
"Entertainment: Video Games","multiple","easy","In what year was the game ""Fallout"" released?","1997","1998","1999","1996"
"Animals","multiple","hard","What is the scientific name of the cheetah?","Acinonyx jubatus","Panthera onca","Lynx rufus","Felis catus"
"General Knowledge","multiple","hard","Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?","Harry","Gus","Phineas","Ezra"
"Entertainment: Video Games","multiple","medium","In the game ""Cave Story,"" what is the character Balrog's catchphrase?","Huzzah!","Oh yeeaaah!","Whoa there!","Nyeh heh heh!"
"Entertainment: Video Games","boolean","hard","In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".","False","True","",""
"Sports","multiple","hard","Which car company is the only Japanese company which won the 24 Hours of Le Mans?","Mazda","Toyota","Subaru","Nissan"
"Entertainment: Television","multiple","easy","Guy's Grocery Games is hosted by which presenter?","Guy Fieri","Guy Martin","Guy Ritchie","Ainsley Harriott"
"Entertainment: Video Games","multiple","medium","Who was the main antagonist of Max Payne 3 (2012)?","Victor Branco","Álvaro Neves","Armando Becker","Milo Rego"
"Art","multiple","medium","Which one of these paintings is not by Caspar David Friedrich?","The Black Sea","The Sea of Ice","Wanderer above the Sea of Fog","The Monk by the Sea"
"Entertainment: Video Games","multiple","easy","How many differently shaped Tetris pieces are there?","7","5","6","8"
"Entertainment: Music","multiple","easy","In an orchestra, what is the lowest member of the brass family?","Tuba","Trombone","Contrabass","Bassoon"
"Entertainment: Comics","multiple","medium","Which of the following superheros did Wonder Woman NOT have a love interest in?","Green Arrow","Superman","Batman","Steve Trevor"
"Entertainment: Video Games","multiple","medium","When was Chapter 1 of the Source Engine mod ""Underhell"" released?","September 1st, 2013","March 3rd, 2011","September 12th, 2013","October 2nd, 2012"
"Entertainment: Comics","boolean","easy","The ""Pepe"" meme originated from a comic drawn by Matt Furie called ""Boy's Club""?","True","False","",""
"Science & Nature","multiple","easy","Which element has the highest melting point?","Carbon","Tungsten","Platinum","Osmium"
"History","multiple","hard","The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?","Justinian I","Constantine IV","Arcadius","Theodosius the Great"
"Entertainment: Music","multiple","hard","In Kendrick Lamar's 2012 album, ""Good Kid, M.A.A.D City"", the album's story takes place in which city?","Compton","Detroit","New York","Baltimore"
"Vehicles","multiple","hard","Which one of the following is NOT a sub-company of the Volkswagen Group?","Opel","Porsche","Bugatti","Bentley"
"Entertainment: Video Games","boolean","easy","In the game Dead by Daylight, the killer Michael Myers is refered to as ""The Shape"".","True","False","",""
"Entertainment: Video Games","boolean","easy","In Pokémon Sun and Moon, a male Salandit can evolve to a Salazzle.","False","True","",""
"Entertainment: Video Games","multiple","medium","When was Nintendo's Virtual Boy released?","1995","1989","1997","1992"
"Geography","multiple","easy","Which of the following Japanese islands is the biggest?","Honshu","Hokkaido","Shikoku","Kyushu"
"Entertainment: Video Games","multiple","medium","One of the Nintendo Entertainment System voice channels supports playback of sound samples. Which one?","DMC","Noise","Triangle","Square"
"Entertainment: Video Games","multiple","hard","Which character from the Mega Man series made a small cameo on Volt Catfish's introduction scene in CD versions of Mega Man X3?","Auto","Eddie","Tango","Rush"
"Vehicles","multiple","easy","The LS7 engine is how many cubic inches?","427","346","364","376"
"Entertainment: Japanese Anime & Manga","multiple","easy","Which of the following originated as a manga?","Akira","Cowboy Bebop","High School DxD","Gurren Lagann"
"Entertainment: Television","multiple","hard","In ""Star Trek"", what sauce is commonly used by Klingons on bregit lung?","Grapok sauce","Gazorpazorp pudding","Sweet chili sauce","Grapork sauce"
"History","multiple","medium","When did the British hand-over sovereignty of Hong Kong back to China?","1997","1999","1841","1900"
"Art","multiple","hard","How many paint and pastel versions of ""The Scream"" is Norwegian painter Edvard Munch believed to have produced?","4","1","3","2"
